"pubDate","timestamp","title","description","link","rss-url","country","category"
"2022-09-19 11:34:42+05:30","1663567482.0","Insurgency down in northeast, Army shifts to LAC","Assam Rifles is now given the responsiblity of counter-insurgency duties in northeastern region","https://www.thehindu.com/news/national/northeast-insurgency-losing-public-support-recruitment-down/article65906559.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 11:31:54+05:30","1663567314.0","Village, ward secretariat staff ‘burdened’ by Aadhaar, voter card seeding","Officials forcing us to meet targets, they complain","https://www.thehindu.com/news/national/andhra-pradesh/village-ward-secretariat-staff-burdened-by-aadhaar-voter-card-seeding/article65907068.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 11:31:54+05:30","1663567314.0","Village, ward secretariat staff ‘burdened’ by Aadhaar, voter card seeding","Officials forcing us to meet targets, they complain","https://www.thehindu.com/news/national/andhra-pradesh/village-ward-secretariat-staff-burdened-by-aadhaar-voter-card-seeding/article65907068.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 11:09:25+05:30","1663565965.0","Top news developments in Karnataka on September 19, 2022","Here are the key news stories to watch out for from Karnataka today","https://www.thehindu.com/news/national/karnataka/top-news-developments-in-karnataka-on-september-19-2022/article65908927.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 11:09:25+05:30","1663565965.0","Top news developments in Karnataka on September 19, 2022","Here are the key news stories to watch out for from Karnataka today","https://www.thehindu.com/news/national/karnataka/top-news-developments-in-karnataka-on-september-19-2022/article65908927.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 11:03:38+05:30","1663565618.0","Andhra Pradesh: CPI(M) wants discussion on Polavaram project in Assembly","‘YSRCP govt. must bring pressure on the Centre for release of funds’","https://www.thehindu.com/news/national/andhra-pradesh/andhra-pradesh-cpim-wants-discussion-on-polavaram-project-in-assembly/article65906876.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 11:03:38+05:30","1663565618.0","Andhra Pradesh: CPI(M) wants discussion on Polavaram project in Assembly","‘YSRCP govt. must bring pressure on the Centre for release of funds’","https://www.thehindu.com/news/national/andhra-pradesh/andhra-pradesh-cpim-wants-discussion-on-polavaram-project-in-assembly/article65906876.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 10:56:37+05:30","1663565197.0","Constable job aspirants demand relaxation of age limit in Karnataka","Over 1.5 lakh candidates, who missed the selection process in 2019 over physical fitness, waited for the following year’s selection process, which never happened owing to the Covid-19 pandemic. Many crossed the age limit, and became ineligible to apply","https://www.thehindu.com/news/national/karnataka/constable-job-aspirants-demand-relaxation-of-age-limit-in-karnataka/article65906471.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 10:56:37+05:30","1663565197.0","Constable job aspirants demand relaxation of age limit in Karnataka","Over 1.5 lakh candidates, who missed the selection process in 2019 over physical fitness, waited for the following year’s selection process, which never happened owing to the Covid-19 pandemic. Many crossed the age limit, and became ineligible to apply","https://www.thehindu.com/news/national/karnataka/constable-job-aspirants-demand-relaxation-of-age-limit-in-karnataka/article65906471.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 10:56:11+05:30","1663565171.0","Arunachal constable ‘chases’ butterflies, teaches economics","Roshan Upadhaya has so far recorded seven species in State","https://www.thehindu.com/news/national/other-states/arunachal-constable-chases-butterflies-teaches-economics/article65908994.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 10:56:11+05:30","1663565171.0","Arunachal constable ‘chases’ butterflies, teaches economics","Roshan Upadhaya has so far recorded seven species in State","https://www.thehindu.com/news/national/other-states/arunachal-constable-chases-butterflies-teaches-economics/article65908994.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
"2022-09-19 10:20:12+05:30","1663563012.0","Andhra Pradesh: Experts throw light on Intellectual Property Rights at SKU conclave","They explain role of incubators, IPR application process","https://www.thehindu.com/news/national/andhra-pradesh/andhra-pradesh-experts-throw-light-on-intellectual-property-rights-at-sku-conclave/article65899784.ece","http://www.thehindu.com/news/national/?service=rss","IN","general"
"2022-09-19 10:20:12+05:30","1663563012.0","Andhra Pradesh: Experts throw light on Intellectual Property Rights at SKU conclave","They explain role of incubators, IPR application process","https://www.thehindu.com/news/national/andhra-pradesh/andhra-pradesh-experts-throw-light-on-intellectual-property-rights-at-sku-conclave/article65899784.ece","http://www.thehindu.com/news/national/?service=rss","IN","politics"
